Year,Month,Product Category Key,Province,City,Province Population Size,Province Total University Enrollment,Number of Dwellings,Median House-hold Income,Sales
2024,2,1,Quebec,Québec,8695659,313360,387955,76500,80.68768600042918
2024,3,2,Quebec,Rimouski,8695659,313360,25620,67000,86.06594286284361
2024,4,3,Quebec,Rivière-du-Loup,8695659,313360,13740,67000,101.27848612224535
2024,5,4,Quebec,Rouyn-Noranda,8695659,313360,19280,76000,97.91778759246124
2024,6,5,Quebec,Saguenay,8695659,313360,74810,70000,112.9391161912464
2024,7,1,Quebec,Saint-Georges,8695659,313360,16135,64500,85.4179087620146
2024,8,2,Quebec,Saint-Hyacinthe,8695659,313360,27960,62000,123.19288802390595
2024,9,3,Quebec,Sainte-Agathe-des-Monts,8695659,313360,9670,61200,106.22930724430482
2024,10,4,Quebec,Sainte-Marie,8695659,313360,5500,78000,104.25454169505399
2024,11,5,Quebec,Salaberry-de-Valleyfield,8695659,313360,20070,62000,117.33147423601208
2024,12,1,Quebec,Sept-Îles,8695659,313360,12290,79000,90.70268644494891
2024,1,2,Quebec,Shawinigan,8695659,313360,25060,53600,93.83020817949824
2024,2,3,Quebec,Sherbrooke,8695659,313360,104650,65000,94.82406071189568
2024,3,4,Quebec,Sorel-Tracy,8695659,313360,20310,61600,85.44230310291742
2024,4,5,Quebec,Thetford Mines,8695659,313360,13260,57200,114.93118691227501
2024,5,1,Quebec,Trois-Rivières,8695659,313360,76635,62400,83.88442382928059
2024,6,2,Quebec,Val-d'Or,8695659,313360,15375,74500,91.6921987461219
2024,7,3,Quebec,Victoriaville,8695659,313360,23910,63200,104.20487597995434
2024,8,4,Ontario,Barrie,15109416,602850,78540,97000,149.57520324211293
2024,9,5,Ontario,Belleville - Quinte West,15109416,602850,46215,78000,139.11814624120206
2024,10,1,Ontario,Brantford,15109416,602850,56000,85000,130.42843241230483
2024,11,2,Ontario,Brockville,15109416,602850,14435,70500,137.53802784182272
2024,12,3,Ontario,Centre Wellington,15109416,602850,11970,101000,190.8765751172786
2024,1,4,Ontario,Chatham-Kent,15109416,602850,44175,71500,109.79309856725459
2024,2,5,Ontario,Cobourg,15109416,602850,9135,77000,138.719265958654
2024,3,1,Ontario,Collingwood,15109416,602850,11170,82000,112.1076855044684
2024,4,2,Ontario,Cornwall,15109416,602850,26795,65500,143.33736775251742
2024,5,3,Ontario,Elliot Lake,15109416,602850,5840,50000,131.81841737619928
2024,6,4,Ontario,Essa,15109416,602850,7945,108000,125.22948231099042
2024,7,5,Ontario,Greater Sudbury,15109416,602850,73385,84000,143.47000051728062
2024,8,1,Ontario,Guelph,15109416,602850,64175,97000,164.99239387016405
2024,9,2,Ontario,Hamilton,15109416,602850,307380,91000,138.43395701791582
2024,10,3,Ontario,Hawkesbury,15109416,602850,5985,53600,137.23254285252202
2024,11,4,Ontario,Ingersoll,15109416,602850,5465,88000,123.90326188209072
2024,12,5,Ontario,Kawartha Lakes,15109416,602850,32710,82000,160.430061103727
2024,1,1,Ontario,Kenora,15109416,602850,6510,86000,117.03729780870351
2024,2,2,Ontario,Kingston,15109416,602850,73505,83000,136.6098927085629
2024,3,3,Ontario,Kitchener,15109416,602850,219060,92000,134.61346648986722
2024,4,4,Ontario,London,15109416,602850,222240,79500,146.09076394648113
2024,5,5,Ontario,Midland,15109416,602850,11825,71000,137.05768736039803
2024,6,1,Ontario,Norfolk,15109416,602850,27595,82000,113.66523181606594
2024,7,2,Ontario,North Bay,15109416,602850,31185,76000,135.34341937826284
2024,8,3,Ontario,Orillia,15109416,602850,14425,71000,160.74811260357313
2024,9,4,Ontario,Oshawa,15109416,602850,149045,102000,121.45534083246659
2024,10,5,Ontario,Ottawa,15109416,602850,604720,98000,129.68859168636092
2024,11,1,Ontario,Owen Sound,15109416,602850,14390,71500,123.33863826126243
2024,12,2,Ontario,Pembroke,15109416,602850,10260,73000,175.98711339416155
2024,1,3,Ontario,Petawawa,15109416,602850,6760,102000,148.78009628101947
2024,2,4,Ontario,Peterborough,15109416,602850,53370,79000,125.80878874750077
2024,3,5,Ontario,Port Hope,15109416,602850,7320,88000,141.9674398800523
2024,4,1,Ontario,Sarnia,15109416,602850,42580,83000,129.65630028635263
2024,5,2,Ontario,Sault Ste. Marie,15109416,602850,34415,74000,122.72060740218335
2024,6,3,Ontario,St. Catharines - Niagara,15109416,602850,179225,77000,137.06171214018943
2024,7,4,Ontario,Stratford,15109416,602850,14745,77000,125.59388687234221
2024,8,5,Ontario,Thunder Bay,15109416,602850,54210,80000,164.4064924342692
2024,9,1,Ontario,Tillsonburg,15109416,602850,8225,73500,118.20310399644991
2024,10,2,Ontario,Timmins,15109416,602850,17885,82000,146.86874855824362
2024,11,3,Ontario,Toronto,15109416,602850,2262470,97000,206.05457454597573
2024,12,4,Ontario,Wasaga Beach,15109416,602850,10810,76000,125.66338522601778
2024,1,5,Ontario,Windsor,15109416,602850,165665,82000,132.478571309249
2024,2,1,Ontario,Woodstock,15109416,602850,18885,82000,115.74296596203945
2024,3,2,Manitoba,Brandon,1409223,43140,22280,77500,83.73484793968684
2024,4,3,Manitoba,Portage la Prairie,1409223,43140,5645,69000,99.63940534228003
2024,5,4,Manitoba,Steinbach,1409223,43140,6835,72500,92.71962726251287
2024,6,5,Manitoba,Thompson,1409223,43140,4675,96000,102.51140211069195
2024,7,1,Manitoba,Winkler,1409223,43140,11360,75000,77.31378663167636
2024,8,2,Manitoba,Winnipeg,1409223,43140,330325,83000,102.01475466387544
2024,9,3,Saskatchewan,Estevan,1194803,39590,5345,96000,121.55830413114839
2024,10,4,Saskatchewan,Moose Jaw,1194803,39590,15215,75500,85.3820991198449
2024,11,5,Saskatchewan,North Battleford,1194803,39590,7865,78000,104.08335988351621
2024,12,1,Saskatchewan,Prince Albert,1194803,39590,17060,78000,95.39080254267553
2024,1,2,Saskatchewan,Regina,1194803,39590,100210,90000,92.49545381952589
2024,2,3,Saskatchewan,Saskatoon,1194803,39590,125100,89000,106.97016115193648
2024,3,4,Saskatchewan,Swift Current,1194803,39590,7950,80000,96.67770141158452
2024,4,5,Saskatchewan,Weyburn,1194803,39590,5090,82000,113.29102071399484
2024,5,1,Saskatchewan,Yorkton,1194803,39590,8425,77500,72.47626563518962
2024,6,2,Alberta,Brooks,4543111,158320,5140,91000,86.11007103728865
2024,7,3,Alberta,Calgary,4543111,158320,563440,100000,123.8801741708363
2024,8,4,Alberta,Camrose,4543111,158320,8135,76000,106.05645087359228
2024,9,5,Alberta,Canmore,4543111,158320,6805,106000,107.83641165782572
2024,10,1,Alberta,Edmonton,4543111,158320,548625,96000,126.46368230496923
2024,11,2,Alberta,Grande Prairie,4543111,158320,24815,102000,134.01605385007795
2024,12,3,Alberta,High River,4543111,158320,5785,82000,104.30076124482436
2024,1,4,Alberta,Lacombe,4543111,158320,5195,89000,92.5185171468751
2024,2,5,Alberta,Lethbridge,4543111,158320,48650,84000,111.79785761046647
2024,3,1,Alberta,Lloydminster,4543111,158320,13885,95000,120.88603539246593
2024,4,2,Alberta,Medicine Hat,4543111,158320,32060,80000,97.03600193251118
2024,5,3,Alberta,Okotoks,4543111,158320,10475,117000,121.19541875167798
2024,6,4,Alberta,Red Deer,4543111,158320,40510,85000,82.749546010216
2024,7,5,Alberta,Strathmore,4543111,158320,5515,91000,100.54959854626694
2024,8,1,Alberta,Sylvan Lake,4543111,158320,6615,93000,92.8381273069372
2024,9,2,Alberta,Wetaskiwin,4543111,158320,5185,69500,97.53704030511555
2024,10,3,Alberta,Wood Buffalo,4543111,158320,26480,182000,124.21441208758009
2024,11,4,British Columbia,Abbotsford - Mission,5319324,186124,67610,91000,99.58600358414871
2024,12,5,British Columbia,Campbell River,5319324,186124,17640,78500,133.58565127601426
2024,1,1,British Columbia,Chilliwack,5319324,186124,44365,82000,93.14638923215203
2024,2,2,British Columbia,Courtenay,5319324,186124,28200,76500,91.43320480562414
2024,3,3,British Columbia,Cranbrook,5319324,186124,11380,84000,96.6931455141715
2024,4,4,British Columbia,Dawson Creek,5319324,186124,7540,85000,95.46085915796871
2024,5,5,British Columbia,Duncan,5319324,186124,20010,75500,106.35875888611294
2024,6,1,British Columbia,Fort St. John,5319324,186124,11590,106000,113.24307766102226
2024,7,2,British Columbia,Kamloops,5319324,186124,47100,87000,91.22210417184358
2024,8,3,British Columbia,Kelowna,5319324,186124,94335,85000,108.74244492456732
2024,9,4,British Columbia,Ladysmith,5319324,186124,6505,80000,90.92174907396435
2024,10,5,British Columbia,Nanaimo,5319324,186124,49345,77500,118.48320292434848
2024,11,1,British Columbia,Nelson,5319324,186124,8505,74500,93.82777289585471
2024,12,2,British Columbia,Parksville,5319324,186124,14765,73500,110.39305120806726
2024,1,3,British Columbia,Penticton,5319324,186124,21920,71000,92.22645983522544
2024,2,4,British Columbia,Port Alberni,5319324,186124,11715,67000,89.2766706595896
2024,3,5,British Columbia,Powell River,5319324,186124,8190,66500,102.68525210793311
2024,4,1,British Columbia,Prince George,5319324,186124,36800,91000,92.07760786947213
2024,5,2,British Columbia,Prince Rupert,5319324,186124,5500,92000,88.7626058969738
2024,6,3,British Columbia,Quesnel,5319324,186124,10155,73000,88.924815708302
2024,7,4,British Columbia,Salmon Arm,5319324,186124,8215,75000,88.75037463283012
2024,8,5,British Columbia,Squamish,5319324,186124,9310,111000,120.58620626535726
2024,9,1,British Columbia,Terrace,5319324,186124,8000,90000,88.45544883809772
2024,10,2,British Columbia,Trail,5319324,186124,6515,76000,108.71393357087719
2024,11,3,British Columbia,Vancouver,5319324,186124,1043320,90000,104.20706126873041
2024,12,4,British Columbia,Vernon,5319324,186124,28725,79000,106.84009360801579
2024,1,5,British Columbia,Victoria,5319324,186124,176675,85000,107.70705134146003
2024,2,1,British Columbia,Williams Lake,5319324,186124,10045,81000,93.27478583218735
2024,3,2,Prince Edward Island,Charlottetown,170688,5810,32945,76500,87.43849853148046
2024,4,3,Prince Edward Island,Summerside,170688,5810,7950,64500,103.14018003964917
2024,5,4,Nova Scotia,Cape Breto,1019725,52270,43800,62000,88.04991851457775
2024,6,5,Nova Scotia,Halifax,1019725,52270,201140,81000,93.97835990640071
2024,7,1,Nova Scotia,Kentville,1019725,52270,11940,67000,87.04831311681028
2024,8,2,Nova Scotia,New Glasgow,1019725,52270,15480,64000,89.62617436545133
2024,9,3,Nova Scotia,Truro,1019725,52270,20700,66000,87.55949079568269
2024,10,4,New Brunswick,Bathurst,812061,20590,14395,62800,73.48085572288905
2024,11,5,New Brunswick,Campbellton,812061,20590,6130,54400,84.92225765731834
2024,12,1,New Brunswick,Edmundston,812061,20590,10265,60800,90.48731279460597
2024,1,2,New Brunswick,Fredericton,812061,20590,46360,79000,96.89086576124421
2024,2,3,New Brunswick,Miramich,812061,20590,12300,66500,105.60873684665266
2024,3,4,New Brunswick,Moncton,812061,20590,67180,74500,95.60990376357799
2024,4,5,New Brunswick,Saint John,812061,20590,55865,74000,101.55336321202597
2024,5,1,Quebec,Alma,8695659,313360,13815,67500,83.88442382928059
2024,6,2,Quebec,Amos,8695659,313360,8250,76500,93.22509313223026
2024,7,3,Quebec,Baie-Comeau,8695659,313360,12360,75000,104.20487597995434
2024,8,4,Quebec,Cowansville,8695659,313360,6980,58800,123.94063211664799
2024,9,5,Quebec,Dolbeau-Mistassini,8695659,313360,6960,63600,117.0691040946124
2024,10,1,Quebec,Drummondville,8695659,313360,45695,64000,92.46977672904076
2024,11,2,Quebec,Granby,8695659,313360,41095,68500,109.63767282097666
2024,12,3,Quebec,Joliette,8695659,313360,24565,61600,107.8514086626766
2024,1,4,Quebec,Lachute,8695659,313360,6530,56400,88.33038548883128
2024,2,5,Quebec,Matane,8695659,313360,9170,56800,108.47676150192534
2024,3,1,Quebec,Montréal,8695659,313360,1835700,76000,68.50078443251837
2024,4,2,Quebec,Québec,8695659,313360,387955,76500,95.92377472901703
2024,5,3,Quebec,Rimouski,8695659,313360,25620,67000,103.66426474386846
2024,6,4,Quebec,Rivière-du-Loup,8695659,313360,13740,67000,92.88636275261179
2024,7,5,Quebec,Rouyn-Noranda,8695659,313360,19280,76000,118.51115226718173
2024,8,1,Quebec,Saguenay,8695659,313360,74810,70000,99.93185133138833
2024,9,2,Quebec,Saint-Georges,8695659,313360,16135,64500,102.44580762706599
2024,10,3,Quebec,Saint-Hyacinthe,8695659,313360,27960,62000,105.05736557866742
2024,11,4,Quebec,Sainte-Agathe-des-Monts,8695659,313360,9670,61200,94.21147970095438
2024,12,5,Quebec,Sainte-Marie,8695659,313360,5500,78000,139.40974348535437
2024,1,1,Quebec,Salaberry-de-Valleyfield,8695659,313360,20070,62000,80.9339824809795
2024,2,2,Quebec,Sept-Îles,8695659,313360,12290,79000,97.72281843680663
2024,3,3,Quebec,Shawinigan,8695659,313360,25060,53600,91.18878025432464
2024,4,4,Quebec,Sherbrooke,8695659,313360,104650,65000,95.53200897083813
2024,5,5,Quebec,Sorel-Tracy,8695659,313360,20310,61600,117.97054103109585
2024,6,1,Quebec,Thetford Mines,8695659,313360,13260,57200,80.07104230886969
2024,7,2,Quebec,Trois-Rivières,8695659,313360,76635,62400,97.96507854140259
2024,8,3,Quebec,Val-d'Or,8695659,313360,15375,74500,126.97638764114478
2024,9,4,Quebec,Victoriaville,8695659,313360,23910,63200,97.01635065597779
2024,10,5,Ontario,Barrie,15109416,602850,78540,97000,144.1412973128929
2024,11,1,Ontario,Belleville - Quinte West,15109416,602850,46215,78000,125.92737580985153
2024,12,2,Ontario,Brantford,15109416,602850,56000,85000,179.6099921676496
2024,1,3,Ontario,Brockville,15109416,602850,14435,70500,131.71272563120996
2024,2,4,Ontario,Centre Wellington,15109416,602850,11970,101000,124.639240901095
2024,3,5,Ontario,Chatham-Kent,15109416,602850,44175,71500,137.19895748779987
2024,4,1,Ontario,Cobourg,15109416,602850,9135,77000,123.16759955606906
2024,5,2,Ontario,Collingwood,15109416,602850,11170,82000,125.28764301319063
2024,6,3,Ontario,Cornwall,15109416,602850,26795,65500,136.95030623755966
2024,7,4,Ontario,Elliot Lake,15109416,602850,5840,50000,127.70885885905913
2024,8,5,Ontario,Essa,15109416,602850,7945,108000,162.6540870134606
2024,9,1,Ontario,Greater Sudbury,15109416,602850,73385,84000,121.82598276993794
2024,10,2,Ontario,Guelph,15109416,602850,64175,97000,167.15450358913455
2024,11,3,Ontario,Hamilton,15109416,602850,307380,91000,133.67385473128604
2024,12,4,Ontario,Hawkesbury,15109416,602850,5985,53600,125.66338522601778
2024,1,5,Ontario,Ingersoll,15109416,602850,5465,88000,133.96075890094392
2024,2,1,Ontario,Kawartha Lakes,15109416,602850,32710,82000,115.74296596203945
2024,3,2,Ontario,Kenora,15109416,602850,6510,86000,132.97461225099187
2024,4,3,Ontario,Kingston,15109416,602850,73505,83000,159.01337690661575
2024,5,4,Ontario,Kitchener,15109416,602850,219060,92000,117.76823163498428
2024,6,5,Ontario,London,15109416,602850,222240,79500,139.37582298119523
2024,7,1,Ontario,Midland,15109416,602850,11825,71000,116.44506265820355
2024,8,2,Ontario,Norfolk,15109416,602850,27595,82000,157.96807327729113
2024,9,3,Ontario,North Bay,15109416,602850,31185,76000,138.40448451815942
2024,10,4,Ontario,Orillia,15109416,602850,14425,71000,120.10285383663786
2024,11,5,Ontario,Oshawa,15109416,602850,149045,102000,143.3609111165328
2024,12,1,Ontario,Ottawa,15109416,602850,604720,98000,209.19295757673012
2024,1,2,Ontario,Owen Sound,15109416,602850,14390,71500,132.70527428303996
2024,2,3,Ontario,Pembroke,15109416,602850,10260,73000,133.8178358465445
2024,3,4,Ontario,Petawawa,15109416,602850,6760,102000,116.29921191665045
2024,4,5,Ontario,Peterborough,15109416,602850,53370,79000,164.6466715020068
2024,5,1,Ontario,Port Hope,15109416,602850,7320,88000,108.31615772439461
2024,6,2,Ontario,Sarnia,15109416,602850,42580,83000,131.63757519398948
2024,7,3,Ontario,Sault Ste. Marie,15109416,602850,34415,74000,142.522342313495
2024,8,4,Ontario,St. Catharines - Niagara,15109416,602850,179225,77000,147.37364917524198
2024,9,5,Ontario,Stratford,15109416,602850,14745,77000,139.11814624120206
2024,10,1,Ontario,Thunder Bay,15109416,602850,54210,80000,130.42843241230483
2024,11,2,Ontario,Tillsonburg,15109416,602850,8225,73500,137.53802784182272
2024,12,3,Ontario,Timmins,15109416,602850,17885,82000,158.67186504072075
2024,1,4,Ontario,Toronto,15109416,602850,2262470,97000,153.33000660053267
2024,2,5,Ontario,Wasaga Beach,15109416,602850,10810,76000,140.83423794537094
2024,3,1,Ontario,Windsor,15109416,602850,165665,82000,113.91359063633871
2024,4,2,Ontario,Woodstock,15109416,602850,18885,82000,151.3589628689094
2024,5,3,Manitoba,Brandon,1409223,43140,22280,77500,96.03017384134077
2024,6,4,Manitoba,Portage la Prairie,1409223,43140,5645,69000,85.23407244450489
2024,7,5,Manitoba,Steinbach,1409223,43140,6835,72500,108.95510400980892
2024,8,1,Manitoba,Thompson,1409223,43140,4675,96000,111.47019604954544
2024,9,2,Manitoba,Winkler,1409223,43140,11360,75000,90.80826561618134
2024,10,3,Manitoba,Winnipeg,1409223,43140,330325,83000,98.1374733617096
2024,11,4,Saskatchewan,Estevan,1194803,39590,5345,96000,94.89905309293214
2024,12,5,Saskatchewan,Moose Jaw,1194803,39590,15215,75500,115.02495216512666
2024,1,1,Saskatchewan,North Battleford,1194803,39590,7865,78000,75.10774525466327
2024,2,2,Saskatchewan,Prince Albert,1194803,39590,17060,78000,86.73191091843889
2024,3,3,Saskatchewan,Regina,1194803,39590,100210,90000,99.71326898696175
2024,4,4,Saskatchewan,Saskatoon,1194803,39590,125100,89000,99.8022057327273
2024,5,5,Saskatchewan,Swift Current,1194803,39590,7950,80000,101.47871286926375
2024,6,1,Saskatchewan,Weyburn,1194803,39590,5090,82000,69.69702533967765
2024,7,2,Saskatchewan,Yorkton,1194803,39590,8425,77500,82.87439434593136
2024,8,3,Alberta,Brooks,4543111,158320,5140,91000,110.90414967442067
2024,9,4,Alberta,Calgary,4543111,158320,563440,100000,101.57541955385422
2024,10,5,Alberta,Camrose,4543111,158320,8135,76000,108.39610906999481
2024,11,1,Alberta,Canmore,4543111,158320,6805,106000,129.68974281366346
2024,12,2,Alberta,Edmonton,4543111,158320,548625,96000,136.6315323544106
2024,1,3,Alberta,Grande Prairie,4543111,158320,24815,102000,108.82767817245427
2024,2,4,Alberta,High River,4543111,158320,5785,82000,94.3024376182955
2024,3,5,Alberta,Lacombe,4543111,158320,5195,89000,107.50292884134785
2024,4,1,Alberta,Lethbridge,4543111,158320,48650,84000,92.84044031504718
2024,5,2,Alberta,Lloydminster,4543111,158320,13885,95000,112.68008180694056
2024,6,3,Alberta,Medicine Hat,4543111,158320,32060,80000,90.3879391106452
2024,7,4,Alberta,Okotoks,4543111,158320,10475,117000,94.96904382061619
2024,8,5,Alberta,Red Deer,4543111,158320,40510,85000,119.91383458254793
2024,9,1,Alberta,Strathmore,4543111,158320,5515,91000,89.61629549882348
2024,10,2,Alberta,Sylvan Lake,4543111,158320,6615,93000,112.34923737161658
2024,11,3,Alberta,Wetaskiwin,4543111,158320,5185,69500,97.15200324674224
2024,12,4,Alberta,Wood Buffalo,4543111,158320,26480,182000,118.55500215620066
2024,1,5,British Columbia,Abbotsford - Mission,5319324,186124,67610,91000,105.58574086231772
2024,2,1,British Columbia,Campbell River,5319324,186124,17640,78500,86.78608510190372
2024,3,2,British Columbia,Chilliwack,5319324,186124,44365,82000,93.83506699208031
2024,4,3,British Columbia,Courtenay,5319324,186124,28200,76500,96.10174308252775
2024,5,4,British Columbia,Cranbrook,5319324,186124,11380,84000,87.12893263492624
2024,6,5,British Columbia,Dawson Creek,5319324,186124,7540,85000,97.03572226585044
2024,7,1,British Columbia,Duncan,5319324,186124,20010,75500,82.42363963918075
2024,8,2,British Columbia,Fort St. John,5319324,186124,11590,106000,130.5862745263664
2024,9,3,British Columbia,Kamloops,5319324,186124,47100,87000,102.51867125485441
2024,10,4,British Columbia,Kelowna,5319324,186124,94335,85000,101.3683486598787
2024,11,5,British Columbia,Ladysmith,5319324,186124,6505,80000,116.59060106221786
2024,12,1,British Columbia,Nanaimo,5319324,186124,49345,77500,91.78220983146018
2024,1,2,British Columbia,Nelson,5319324,186124,8505,74500,92.59455866368545
2024,2,3,British Columbia,Parksville,5319324,186124,14765,73500,95.02314781099682
2024,3,4,British Columbia,Penticton,5319324,186124,21920,71000,85.18983211576214
2024,4,5,British Columbia,Port Alberni,5319324,186124,11715,67000,108.58255040657298
2024,5,1,British Columbia,Powell River,5319324,186124,8190,66500,80.89015470644674
2024,6,2,British Columbia,Prince George,5319324,186124,36800,91000,84.9492243765629
2024,7,3,British Columbia,Prince Rupert,5319324,186124,5500,92000,95.19714274100549
2024,8,4,British Columbia,Quesnel,5319324,186124,10155,73000,105.40441265845308
2024,9,5,British Columbia,Salmon Arm,5319324,186124,8215,75000,109.0957321626703
2024,10,1,British Columbia,Squamish,5319324,186124,9310,111000,129.13214509222027
2024,11,2,British Columbia,Terrace,5319324,186124,8000,90000,110.34107542351806
2024,12,3,British Columbia,Trail,5319324,186124,6515,76000,103.93107440260239
2024,1,4,British Columbia,Vancouver,5319324,186124,1043320,90000,85.84502530687479
2024,2,5,British Columbia,Vernon,5319324,186124,28725,79000,111.14581939532727
2024,3,1,British Columbia,Victoria,5319324,186124,176675,85000,90.72772865246543
2024,4,2,British Columbia,Williams Lake,5319324,186124,10045,81000,95.87515527178543
2024,5,3,Prince Edward Island,Charlottetown,170688,5810,32945,76500,95.44292310542788
2024,6,4,Prince Edward Island,Summerside,170688,5810,7950,64500,82.77723823145416
2024,7,5,Nova Scotia,Cape Breto,1019725,52270,43800,62000,100.67680446612108
2024,8,1,Nova Scotia,Halifax,1019725,52270,201140,81000,84.3485495791738
2024,9,2,Nova Scotia,Kentville,1019725,52270,11940,67000,81.3456994441301
2024,10,3,Nova Scotia,New Glasgow,1019725,52270,15480,64000,86.38754913004529
2024,11,4,Nova Scotia,Truro,1019725,52270,20700,66000,71.83327781195898
2024,12,5,New Brunswick,Bathurst,812061,20590,14395,62800,103.12370876817081
2024,1,1,New Brunswick,Campbellton,812061,20590,6130,54400,87.19171956107621
2024,2,2,New Brunswick,Edmundston,812061,20590,10265,60800,91.52533707530792
2024,3,3,New Brunswick,Fredericton,812061,20590,46360,79000,107.27873454982735
2024,4,4,New Brunswick,Miramich,812061,20590,12300,66500,97.22818550040195
2024,5,5,New Brunswick,Moncton,812061,20590,67180,74500,104.80319774307813
2024,6,1,New Brunswick,Saint John,812061,20590,55865,74000,76.47380041903283
2024,7,2,Quebec,Alma,8695659,313360,13815,67500,97.96507854140259
2024,8,3,Quebec,Amos,8695659,313360,8250,76500,126.2445231578633
2024,9,4,Quebec,Baie-Comeau,8695659,313360,12360,75000,97.01635065597779
2024,10,5,Quebec,Cowansville,8695659,313360,6980,58800,117.04743630444658
2024,11,1,Quebec,Dolbeau-Mistassini,8695659,313360,6960,63600,91.7141082844445
2024,12,2,Quebec,Drummondville,8695659,313360,45695,64000,114.31338546814148
2024,1,3,Quebec,Granby,8695659,313360,41095,68500,93.46210935103824
2024,2,4,Quebec,Joliette,8695659,313360,24565,61600,89.07758356048846
2024,3,5,Quebec,Lachute,8695659,313360,6530,56400,104.8414810443543
2024,4,1,Quebec,Matane,8695659,313360,9170,56800,81.38912202148242
2024,5,2,Quebec,Montréal,8695659,313360,1835700,76000,90.10070345125622
2024,6,3,Quebec,Québec,8695659,313360,387955,76500,101.39946260242746
2024,7,4,Quebec,Rimouski,8695659,313360,25620,67000,98.45839882854712
2024,8,5,Quebec,Rivière-du-Loup,8695659,313360,13740,67000,143.99338555528254
2024,9,1,Quebec,Rouyn-Noranda,8695659,313360,19280,76000,83.86732708667388
2024,10,2,Quebec,Saguenay,8695659,313360,74810,70000,112.6342678309514
2024,11,3,Quebec,Saint-Georges,8695659,313360,16135,64500,102.06077056869267
2024,12,4,Quebec,Saint-Hyacinthe,8695659,313360,27960,62000,102.46642781394905
2024,1,5,Quebec,Sainte-Agathe-des-Monts,8695659,313360,9670,61200,107.72956343026816
2024,2,1,Quebec,Sainte-Marie,8695659,313360,5500,78000,81.16053685220923
2024,3,2,Quebec,Salaberry-de-Valleyfield,8695659,313360,20070,62000,86.06594286284361
2024,4,3,Quebec,Sept-Îles,8695659,313360,12290,79000,107.0353223692475
2024,5,4,Quebec,Shawinigan,8695659,313360,25060,53600,97.91778759246124
2024,6,5,Quebec,Sherbrooke,8695659,313360,104650,65000,112.9391161912464
2024,7,1,Quebec,Sorel-Tracy,8695659,313360,20310,61600,85.4179087620146
2024,8,2,Quebec,Thetford Mines,8695659,313360,13260,57200,123.19288802390595
2024,9,3,Quebec,Trois-Rivières,8695659,313360,76635,62400,106.22930724430482
2024,10,4,Quebec,Val-d'Or,8695659,313360,15375,74500,96.99468286581197
2024,11,5,Quebec,Victoriaville,8695659,313360,23910,63200,117.33147423601208
2024,12,1,Ontario,Barrie,15109416,602850,78540,97000,210.50076299711907
2024,1,2,Ontario,Belleville - Quinte West,15109416,602850,46215,78000,134.2381686691483
2024,2,3,Ontario,Brantford,15109416,602850,56000,85000,139.57467209354667
2024,3,4,Ontario,Brockville,15109416,602850,14435,70500,117.79977954636291
2024,4,5,Ontario,Centre Wellington,15109416,602850,11970,101000,160.40444439889598
2024,5,1,Ontario,Chatham-Kent,15109416,602850,44175,71500,104.74826402425974
2024,6,2,Ontario,Cobourg,15109416,602850,9135,77000,130.60343396909053
2024,7,3,Ontario,Collingwood,15109416,602850,11170,82000,142.82461905511246
2024,8,4,Ontario,Cornwall,15109416,602850,26795,65500,148.64535077604762
